Model-Name,Description, SAPHIRE-Cutsets, SAPHIRE-Value, Solver-Cutsets, Solver-value,Solver-Group-1-Cutsets,Solver-Group-1-Value, Solver-Group-2-Cutsets,Solver-Group-2-Value, Solver-Group-3-Cutsets,Solver-Group-3-Value,Solver-Group-4-Cutsets,Solver-Group-4-Value,Solver-Group-5-Cutsets,Solver-Group-5-Value,Solver-Group-6-Cutsets,Solver-Group-6-Value
EQK-BIN1,SEISMIC EVENT IN BIN 1 (0.1 - 0.3g) OCCURS (BIN PGA 0.17),610016,2.085E-09,to be sum,to be sum,
EQK-BIN2,SEISMIC EVENT IN BIN 2 (0.3 - 0.5g) OCCURS (BIN PGA 0.39),811575,2.430E-07,to be sum,to be sum,
EQK-BIN3,SEISMIC EVENT IN BIN 3 (0.5 - 0.75g) OCCURS (BIN PGA 0.61),802392,2.336E-06,to be sum,to be sum,
EQK-BIN4,SEISMIC EVENT IN BIN 4 (0.75 - 1.0g) OCCURS (BIN PGA 0.87),598505,2.857E-06,to be sum,to be sum,
EQK-BIN5,SEISMIC EVENT IN BIN 5 (1.0 - 1.5g) OCCURS (BIN PGA 1.22),440041,2.348E-06,to be sum,to be sum,
EQK-BIN6,SEISMIC EVENT IN BIN 6 (1.5 - 3.0g) OCCURS (BIN PGA 2.12),177330,6.006E-07,to be sum,to be sum,
EQK-BIN7,SEISMIC EVENT BIN 7 (> 3.0g) OCCURS,2,9.623E-09,to be sum,to be sum,
FLI-4160VACA,IF - 4160V AC ROOM A,363408,2.551E-09,to be sum,to be sum,
FLI-4160VACB,IF - 4160V AC ROOM B,364430,2.563E-09,to be sum,to be sum,
FLI-AFW-ROOM,IF - AFW PUMP ROOMS,126120,2.109E-08,to be sum,to be sum,
FLI-CCW-ROOM,IF - CCW PUMP ROOMS,283639,2.941E-08,to be sum,to be sum,
FLI-CCW-ROOMA,IF - CCW PUMP ROOM A,631309,1.065E-09,to be sum,to be sum,
FLI-CCW-ROOMB,IF - CCW PUMP ROOM B,636421,1.066E-09,to be sum,to be sum,
FLI-CVC-ROOM, IF - CVC PUMP ROOM,277526,3.958E-10,to be sum,to be sum,
FLI-RHR-ROOM,IF - RHR PUMP ROOM,36008,1.071E-10,to be sum,to be sum,
FLI-SWS-ROOM,IF - SWS PUMP ROOMS,190025,2.997E-07,to be sum,to be sum,
FLI-SWS-ROOMA,IF - SWS PUMP ROOM A,182124,1.402E-08,to be sum,to be sum,
FLI-SWS-ROOMB, IF - SWS PUMP ROOM B,188786,1.409E-08,to be sum,to be sum,
FRI-AB-AFWAB,FIRE IN AUXILIARY BUILDING CAUSING FAILURE AFW MDP A AND B,420246,1.243E-08,to be sum,to be sum,
FRI-AB-CCWBC,FIRE IN AUXILIARY BUILDING CAUSING FAILURE CCW TRAINS A&C,528190,7.673E-10,to be sum,to be sum,
FRI-AB-LOOP,FIRE IN AUX BUILDING CAUSES LOOP,29283,1.098E-08,to be sum,to be sum,
FRI-AB-LOOP-DIVA,FIRE IN AUX BUILDING CAUSES LOOP AND LOSS OF DIV A AC,45325,3.138E-06,to be sum,to be sum,
FRI-AB-LOOP-DIVB,FIRE IN AUX BUILDING CAUSES LOOP AND LOSS OF DIV B AC,46090,3.159E-06,to be sum,to be sum,
FRI-AB-RHRA,FIRE IN AUXILIARY BUILDING CAUSING FAILURE RHR TRAIN A,647063,2.114E-09,to be sum,to be sum,
FRI-AB-SIS,FIRE IN AUXILIARY BUILDING CAUSING FAILURE SIS TRAINS,659428,5.416E-08,to be sum,to be sum,
FRI-AB-SLOCA,FIRE IN AUXILIARY BUILDING CAUSES SPURIOUS PORV OPENING,14257,5.499E-07,to be sum,to be sum,
FRI-MCR,FIRE IN MAIN CONTROL ROOM CAUSES AN EVACUATION,3463,9.081E-06,to be sum,to be sum,
FRI-SWS-BLD,FIRE IN SERVICE WATER BUILDING FAILING SWS,71923,9.331E-08,to be sum,to be sum,
HCN-BIN1,HURRICANE WIND EVENT BIN 1 (111 MPH - 135 MPH),1703431,4.868E-09,to be sum,to be sum,
HCN-BIN2,HURRICANE WIND EVENT BIN 2 (136 MPH - 165 MPH),1064448,2.181E-09,to be sum,to be sum,
HCN-BIN3,HURRICANE WIND EVENT BIN 3 (166 MPH - 200 MPH),475235,9.346E-10,to be sum,to be sum,
HCN-BIN4,HURRICANE WIND EVENT BIN 4 (> 200 MPH),230212,4.737E-10,to be sum,to be sum,
HWD-96MPH,HIGH WIND (<110 MPH) EVENT OCCURS,2558791,2.264E-08,to be sum,to be sum,
ISL-RHR-CL,ISLOCA RHR COLD LEG,217, 3.063E-11,to be sum,to be sum,
ISL-RHR-HL,ISLOCA RHR HOT LEG,3,2.063E-08,to be sum,to be sum,
L4160ACA,LOSS OF 4160 VAC BUS A,160390,2.207E-07,to be sum,to be sum,
L4160ACB,LOSS OF 4160 VAC BUS B,162204,2.220E-07,to be sum,to be sum,
LLOCA,LARGE BREAK LOCA,20119,3.617E-07,to be sum,to be sum,
LOCCW,TOTAL LOSS OF CCW,778360,8.245E-08,to be sum,to be sum,
LODCA,LOSS OF 125 VDC BUS A,156714,4.249E-08,to be sum,to be sum,
LODCB,LOSS OF 125 VDC BUS B,160549,4.271E-08,to be sum,to be sum,
LOMFW,LOSS OF MAIN FEEDWATER,1550153,7.502E-08,to be sum,to be sum,
LOOPGR,LOSS OF OFFSITE POWER (GRID-RELATED),1111725,7.913E-07,to be sum,to be sum,
LOOPPC,LOSS OF OFFSITE POWER (PLANT-CENTERED),851575,7.619E-08,to be sum,to be sum,
LOOPSC,LOSS OF OFFSITE POWER (SWITCHYARD-CENTERED),1253736,7.286E-07,to be sum,to be sum,
LOOPWR,LOSS OF OFFSITE POWER (WEATHER-RELATED),1014915,5.660E-07,to be sum,to be sum,
LSSB,LARGE STEAM LINE BREAK (UNISOLABLE INSIDE CONTAINMENT),216762,1.872E-07,to be sum,to be sum,
MLOCA,MEDIUM BREAK LOCA,67620,9.332E-06,to be sum,to be sum,
SGTR,STEAM GENERATOR TUBE RUPTURE,1039329,2.668E-06,to be sum,to be sum,
SLOCA,SMALL BREAK LOCA,309917,2.453E-05,to be sum,to be sum,
TOR-BIN1,TORNADO EVENT BIN-1 (136- 165 MPH),128067,5.355E-12,to be sum,to be sum,
TOR-BIN2,TORNADO EVENT BIN-2 (166- 200 MPH),126084,2.614E-11,to be sum,to be sum,
TOR-BIN3,TORNADO EVENT BIN-3 (> 200 MPH),95064,1.296E-10,to be sum,to be sum,
TRANS,TRANSIENT,4178502,1.525E-07,to be sum,to be sum,
XLOCA,EXCESSIVE LOCA,1,1.000E-07,to be sum,to be sum,
